% parallel ∥
glottalstopstrokereversed ʢ
glyph305  ̆
glyph566  ̆
gmacron ḡ
gmonospace ｇ
gnaborretni ⸘
gohiragana ご
gokatakana ゴ
gparen ⒢
gpasquare ㎬
gradient ∇
grave `
gravebelowcmb ̖
gravebelowcomb  ̖
gravecmb ̀
gravecomb ̀
gravedbl  ̏
gravedblnosp  ̏
gravedeva ॓
gravelowmod ˎ
gravemonospace ｀
gravenosp `
gravetonecmb ̀
greater >
greaterdbleqlless ⪌
greaterdblequal ≧
greaterdot ⋗
greaterequal ≥
greaterequalless ⋛
greaterequalorless ⋛
greaterlessequal ⋛
greatermonospace ＞
greatermuch ≫
greaternotapproxeql ⪊
greaternotdblequal ⪊
greaternotequal ⪈
greaternotvertequal ≩
greaterorapproxeql ⪆
greaterorequalslant ⩾
greaterorequivalent ≳
greaterorless ≷
greaterornotdbleql ≩
greaterornotequal ≩
greaterornotsimilar ⋧
greaterorsimilar ≳
greateroverequal ≧
greatersmall ﹥
grimace 😖
gscript ɡ
gstroke ǥ
gtilde g̃
guarani ₲
guhiragana ぐ
guillemotleft «
guillemotright »
guilsinglleft ‹
guilsinglright ›
gukatakana グ
guramusquare ㌘
gysquare ㏉
h h
haabkhasiancyrillic ҩ
haaltonearabic ہ
habengali হ
hadescendercyrillic ҳ
hadeva ह
hagujarati હ
hagurmukhi ਹ
haharabic ح
hahfinalarabic ﺢ
hahinitialarabic ﺣ
hahiragana は
hahmedialarabic ﺤ
haitusquare ㌪
hakatakana ハ
hakatakanahalfwidth ﾊ
halantgurmukhi ੍
hamzaarabic ء
hamzadammaarabic ءُ
hamzadammatanarabic ءٌ
hamzafathaarabic ءَ
hamzafathatanarabic ءً
hamzalowarabic ء
hamzalowkasraarabic ءِ
hamzalowkasratanarabic ءٍ
hamzasukunarabic ءْ
hangulfiller ㅤ
hardsigncyrillic ъ
harpoondownleft ⇃
harpoondownright ⇂
harpoonleftdown ↽
harpoonleftright ⇌
harpoonleftup ↼
harpoonrightdown ⇁
harpoonrightleft ⇌
harpoonrightup ⇀
harpoonupleft ↿
harpoonupright ↾
hasquare ㏊
hat4 ^
hat5 ^
hat6 ^
hatafpatah ֲ
hatafpatah16 ֲ
hatafpatah23 ֲ
hatafpatah2f ֲ
hatafpatahhebrew ֲ
hatafpatahnarrowhebrew ֲ
hatafpatahquarterhebrew ֲ
hatafpatahwidehebrew ֲ
hatafqamats ֳ
hatafqamats1b ֳ
hatafqamats28 ֳ
hatafqamats34 ֳ
hatafqamatshebrew ֳ
hatafqamatsnarrowhebrew ֳ
hatafqamatsquarterhebrew ֳ
hatafqamatswidehebrew ֳ
hatafsegol ֱ
hatafsegol17 ֱ
hatafsegol24 ֱ
hatafsegol30 ֱ
hatafsegolhebrew ֱ
hatafsegolnarrowhebrew ֱ
hatafsegolquarterhebrew ֱ
hatafsegolwidehebrew ֱ
hatmorewidest ^
hatultime ^
hatwide ^
hatwide10 ^
hatwide13 ^
hatwide3 ^
hatwide4 ^
hatwide5 ^
hatwide6 ^
hatwide7 ^
hatwide8 ^
hatwide9 ^
hatwider ^
hatwidest ^
hbar ħ
hbbb 𝕙
hbopomofo ㄏ
hbrevebelow ḫ
hcedilla ḩ
hcircle ⓗ
hcircumflex ĥ
hdieresis ḧ
hdotaccent ḣ
hdotbelow ḥ
hdotdot ‥
he ה
heart ♡
heartsuitblack ♥
heartsuitwhite ♡
hedagesh הּ
hedageshhebrew הּ
hehaltonearabic ہ
heharabic ه
hehebrew ה
hehfinalaltonearabic ﮧ
hehfinalalttwoarabic ﻪ
hehfinalarabic ﻪ
hehhamzaabovefinalarabic ﮥ
hehhamzaaboveisolatedarabic ﮤ
hehinitialaltonearabic ﮨ
hehinitialarabic ﻫ
hehiragana へ
hehmedialaltonearabic ﮩ
hehmedialarabic ﻬ
heiseierasquare ㍻
hekatakana ヘ
hekatakanahalfwidth ﾍ
hekutaarusquare ㌶
henghook ɧ
herutusquare ㌹
het ח
hethebrew ח
hhook ɦ
hhooksuperior ʱ
hieuhacirclekorean ㉻
hieuhaparenkorean ㈛
hieuhcirclekorean ㉭
hieuhkorean ㅎ
hieuhparenkorean ㈍
hihiragana ひ
hikatakana ヒ
hikatakanahalfwidth ﾋ
hiriq ִ
hiriq14 ִ
hiriq21 ִ
hiriq2d ִ
hiriqhebrew ִ
hiriqnarrowhebrew ִ
hiriqquarterhebrew ִ
hiriqwidehebrew ִ
hlinebelow ẖ
hmonospace ｈ
hoarmenian հ
hohipthai ห
hohiragana ほ
hokatakana ホ
hokatakanahalfwidth ﾎ
holam ֹ
holam19 ֹ
holam26 ֹ
holam32 ֹ
holamhebrew ֹ
holamnarrowhebrew ֹ
holamquarterhebrew ֹ
holamwidehebrew ֹ
honokhukthai ฮ
hookabovecomb ̉
hookcmb ̉
hookpalatalizedbelowcmb ̡
hookretroflexbelowcmb ̢
hoonsquare ㍂
horicoptic ϩ
horizontal —
horizontalbar ―
horncmb ̛
hotsprings ♨
house ⌂
hparen ⒣
hslash ℏ
hsuperior ʰ
hturned ɥ
huhiragana ふ
huiitosquare ㌳
hukatakana フ
hukatakanahalfwidth ﾌ
hungarumlaut ˝
hungarumlautcmb ̋
hv ƕ
hyphen -
hyphenbullet ⁃
hyphenchar -
hyphendbl ⹀
hyphendblchar ⹀
hypheninferior 
hyphenminus -
hyphenmonospace －
hyphensmall ﹣
hyphensuperior 
hyphentwo ‐
i i
iacute í
iacyrillic я
ibar ɨ
ibbb 𝕚
ibengali ই
ibopomofo ㄧ
ibreve ĭ
icaron ǐ
icircle ⓘ
icircumflex î
icyrillic і
idblgrave ȉ
ideographearthcircle ㊏
ideographfirecircle ㊋
ideographicallianceparen ㈿
ideographiccallparen ㈺
ideographiccentrecircle ㊥
ideographicclose 〆
ideographiccomma 、
ideographiccommaleft ､
ideographiccongratulationparen ㈷
ideographiccorrectcircle ㊣
ideographicearthparen ㈯
ideographicenterpriseparen ㈽
ideographicexcellentcircle ㊝
ideographicfestivalparen ㉀
ideographicfinancialcircle ㊖
ideographicfinancialparen ㈶
ideographicfireparen ㈫
ideographichaveparen ㈲
ideographichighcircle ㊤
ideographiciterationmark 々
ideographiclaborcircle ㊘
ideographiclaborparen ㈸
ideographicleftcircle ㊧
ideographiclowcircle ㊦
ideographicmedicinecircle ㊩
ideographicmetalparen ㈮
ideographicmoonparen ㈪
ideographicnameparen ㈴
ideographicperiod 。
ideographicprintcircle ㊞
ideographicreachparen ㉃
ideographicrepresentparen ㈹
ideographicresourceparen ㈾
ideographicrightcircle ㊨
ideographicsecretcircle ㊙
ideographicselfparen ㉂
ideographicsocietyparen ㈳
ideographicspace 　
ideographicspecialparen ㈵
ideographicstockparen ㈱
ideographicstudyparen ㈻
ideographicsunparen ㈰
ideographicsuperviseparen ㈼
ideographicwaterparen ㈬
ideographicwoodparen ㈭
ideographiczero 〇
ideographmetalcircle ㊎
ideographmooncircle ㊊
ideographnamecircle ㊔
ideographsuncircle ㊐
ideographwatercircle ㊌
ideographwoodcircle ㊍
ideva इ
idieresis ï
idieresisacute ḯ
idieresiscyrillic ӥ
idotbelow ị
iebrevecyrillic ӗ
iecyrillic е
ieungacirclekorean ㉵
ieungaparenkorean ㈕
ieungcirclekorean ㉧
ieungkorean ㅇ
ieungparenkorean ㈇
igrave ì
igujarati ઇ
igurmukhi ਇ
ihiragana い
ihookabove ỉ
iibengali ঈ
iicyrillic и
iideva ई
iigujarati ઈ
iigurmukhi ਈ
iiiintegdisplay ⨌
iiiintegtext ⨌
iiintegdisplay ∭
iiintegtext ∭
iimatragurmukhi ੀ
iintegdisplay ∬
iintegtext ∬
iinvertedbreve ȋ
iishortcyrillic й
iivowelsignbengali ী
iivowelsigndeva ी
iivowelsigngujarati ી
ij ĳ
ikatakana イ
ikatakanahalfwidth ｲ
ikorean ㅣ
ilde ˜
iluyhebrew ֬
imacron ī
imacroncyrillic ӣ
imageorapproximatelyequal ≓
imatragurmukhi ਿ
imonospace ｉ
increment ∆
infinity ∞
iniarmenian ի
insert ⎀
integerdivide ∖
integral ∫
integralbottom ⌡
integralbt ⌡
integraldisplay ∫
integralex 
integraltext ∫
integraltop ⌠
integraltp ⌠
intercal ⊺
interrobang ‽
interrobangdown ⸘
intersection ∩
intersectiondbl ⋒
intersectiondisplay ⋂
intersectionsq ⊓
intersectionsqdisplay ⊓
intersectionsqtext ⊓
intersectiontext ∩
intisquare ㌅
invbullet ◘
invcircle ◙
invertedbrevecomb  ̑
invsmileface ☻
iocyrillic ё
iogonek į
iota ι
iotadieresis ϊ
iotadieresistonos ΐ
iotalatin ɩ
iotatonos ί
iparen ⒤
irigurmukhi ੲ
ismallhiragana ぃ
ismallkatakana ィ
ismallkatakanahalfwidth ｨ
issharbengali ৺
istroke ɨ
isuperior 
iterationhiragana ゝ
iterationkatakana ヽ
itilde ĩ
itildebelow ḭ
iubopomofo ㄩ
iucyrillic ю
ivowelsignbengali ি
ivowelsigndeva ि
ivowelsigngujarati િ
izhitsacyrillic ѵ
izhitsadblgravecyrillic ѷ
j j
jaarmenian ձ
jabengali জ
jadeva ज
jagujarati જ
jagurmukhi ਜ
jbbb 𝕛
jbopomofo ㄐ
jcaron ǰ
jcircle ⓙ
jcircumflex ĵ
jcrossedtail ʝ
jdotlessstroke ɟ
jecyrillic ј
jeemarabic ج
jeemfinalarabic ﺞ
jeeminitialarabic ﺟ
jeemmedialarabic ﺠ
jeharabic ژ
jehfinalarabic ﮋ
jhabengali ঝ
jhadeva झ
jhagujarati ઝ
jhagurmukhi ਝ
jheharmenian ջ
jis 〄
jmonospace ｊ
jparen ⒥
jsuperior ʲ
k k
kabashkircyrillic ҡ
kabengali ক
kacute ḱ
kacyrillic к
kadescendercyrillic қ
kadeva क
kaf כ
kafarabic ك
kafdagesh כּ
kafdageshhebrew כּ
kaffinal ך
kaffinalarabic ﻚ
kaffinaldagesh ךּ
kaffinalqamats כּ
kaffinalsheva כּ
kafhebrew כ
kafinitialarabic ﻛ
kafmedialarabic ﻜ
kafrafehebrew כֿ
kagujarati ક
kagurmukhi ਕ
kahiragana か
kahookcyrillic ӄ
kakatakana カ
kakatakanahalfwidth ｶ
kalt k
kappa κ
kappa1 ϰ
kappa1it 𝜘
kappa1up ϰ
kappasymbolgreek ϰ
kapyeounmieumkorean ㅱ
kapyeounphieuphkorean ㆄ
kapyeounpieupkorean ㅸ
kapyeounssangpieupkorean ㅹ
karoriisquare ㌍
kashidaautoarabic ـ
kashidaautonosidebearingarabic ـ
kasmallkatakana ヵ
kasquare ㎄
kasraarabic ِ
kasratanarabic ٍ
kastrokecyrillic ҟ
katahiraprolongmarkhalfwidth ｰ
kaverticalstrokecyrillic ҝ
kbbb 𝕜
kbopomofo ㄎ
kbreton ꝃ
kcalsquare ㎉
kcaron ǩ
kcedilla ķ
kcircle ⓚ
kcommaaccent ķ
kdotbelow ḳ
keharmenian ք
kehiragana け
kekatakana ケ
kekatakanahalfwidth ｹ
kenarmenian կ
kesmallkatakana ヶ
kgreenlandic ĸ
khabengali খ
khacyrillic х
khadeva ख
khagujarati ખ
khagurmukhi ਖ
khaharabic خ
khahfinalarabic ﺦ
khahinitialarabic ﺧ
khahmedialarabic ﺨ
kheicoptic ϧ
khhadeva ख़
khhagurmukhi ਖ਼
khieukhacirclekorean ㉸
khieukhaparenkorean ㈘
khieukhcirclekorean ㉪
khieukhkorean ㅋ
khieukhparenkorean ㈊
khokhaithai ข
khokhonthai ฅ
khokhuatthai ฃ
khokhwaithai ค
khomutthai ๛
khook ƙ
khorakhangthai ฆ
khzsquare ㎑
kihiragana き
kikatakana キ
kikatakanahalfwidth ｷ
kiroguramusquare ㌕
kiromeetorusquare ㌖
kirosquare ㌔
kiyeokacirclekorean ㉮
kiyeokaparenkorean ㈎
kiyeokcirclekorean ㉠
kiyeokkorean ㄱ
kiyeokparenkorean ㈀
kiyeoksioskorean ㄳ
kjecyrillic ќ
klinebelow ḵ
klsquare ㎘
kmcubedsquare ㎦
kmonospace ｋ
kmsquaredsquare ㎢
kohiragana こ
kohmsquare ㏀
kokaithai ก
kokatakana コ
kokatakanahalfwidth ｺ
kooposquare ㌞
koppa ϟ
koppaarchaic ϙ
koppacyrillic ҁ
koreanstandardsymbol ㉿
koroniscmb ̓
kparen ⒦
kpasquare ㎪
kra ĸ
ksi ξ
ksicyrillic ѯ
ktsquare ㏏
kturned ʞ
kuhiragana く
kukatakana ク
kukatakanahalfwidth ｸ
kvsquare ㎸
kwsquare ㎾
l l
labengali ল
lacute ĺ
ladeva ल
lagujarati લ
lagurmukhi ਲ
lakkhangyaothai ๅ
lamaleffinalarabic ﻼ
lamalefhamzaabovefinalarabic ﻸ
lamalefhamzaaboveisolatedarabic ﻷ
lamalefhamzabelowfinalarabic ﻺ
lamalefhamzabelowisolatedarabic ﻹ
lamalefisolatedarabic ﻻ
lamalefmaddaabovefinalarabic ﻶ
lamalefmaddaaboveisolatedarabic ﻵ
lamarabic ل
lambda λ
lambda_lambda λλ
lambdabar ƛ
lambdastroke ƛ
lamed ל
lameddagesh לּ
lameddageshhebrew לּ
lamedhebrew ל
lamedholam לֹ
lamedholamdagesh לֹּ
lamedholamdageshhebrew לֹּ
lamedholamhebrew לֹ
lamfinalarabic ﻞ
lamhahinitialarabic ﳊ
laminitialarabic ﻟ
lamjeeminitialarabic ﳉ
lamkhahinitialarabic ﳋ
lamlamhehisolatedarabic ﷲ
lammedialarabic ﻠ
lammeemhahinitialarabic ﶈ
lammeeminitialarabic ﳌ
lammeemjeeminitialarabic ﻟﻤﺠ
lammeemkhahinitialarabic ﻟﻤﺨ
langle ⟨
largecircle ◯
largepentagram ⛤
latticetop ⊤
lbagBig ⟅
lbagBigg ⟅
lbagBiggg ⟅
lbagBigggg ⟅
lbagBiggggg ⟅
lbagbig ⟅
lbagbigg ⟅
lbar ƚ
lbbar ℔
lbbb 𝕝
lbelt ɬ
lbopomofo ㄌ
lcaron ľ
lcatalan ŀ
lcedilla ļ
lcircle ⓛ
lcircumflexbelow ḽ
lcommaaccent ļ
ldot ŀ
ldotaccent ŀ
ldotbelow ḷ
ldotbelowmacron ḹ
leaf 🍁
leftangleabovecmb ̚
leftleftarrows ⇇
lefttackbelowcmb ̘
leqslant ⩽
less <
lessdbleqlgreater ⪋
lessdblequal ≦
lessdot ⋖
lessequal ≤
lessequalgreater ⋚
lessequalorgreater ⋚
lessmonospace ＜
lessmuch ≪
lessnotapproxeql ⪉
lessnotdblequal ⪉
lessnotequal ⪇
lessnotvertequal ≨
lessorapproxeql ⪅
lessorequalslant ⩽
lessorequivalent ≲
lessorgreater ≶
lessornotdbleql ≨
lessornotequal ≨
lessornotsimilar ⋦
lessorsimilar ≲
lessoverequal ≦
lesssmall ﹤
lezh ɮ
lfblock ▌
lhookretroflex ɭ
linevertdblnosp "
linevertnosp '
lira ₤
liwnarmenian լ
lj ǉ
ljecyrillic љ
ll 
lladeva ळ
llagujarati ળ
llinebelow ḻ
llladeva ऴ
llvocalicbengali ৡ
llvocalicdeva ॡ
llvocalicvowelsignbengali ৣ
llvocalicvowelsigndeva ॣ
lmiddletilde ɫ
lmonospace ｌ
lmsquare ㏐
lochulathai ฬ
logicaland ∧
logicalanddisplay ∧
logicalandtext ∧
logicalnot ¬
logicalnotreversed ⌐
logicalor ∨
logicalordisplay ∨
logicalortext ∨
lolingthai ล
longdbls ſſ
longs ſ
longsh ſh
longsi ſi
longsl ſl
longst ﬅ
lowlinecenterline ﹎
lowlinecmb ̲
lowlinedashed ﹍
lozenge ◊
lozengesolid ◆
lparen ⒧
lscript ℓ
lscriptsf ℓ
lslash ł
lsquare ℓ
lsuperior 
ltshade ░
luthai ฦ
lvocalicbengali ঌ
lvocalicdeva ऌ
lvocalicvowelsignbengali ৢ
lvocalicvowelsigndeva ॢ
lxsquare ㏓
m m
mabengali ম
macron ¯
macronbelowcmb ̱
macroncmb ̄
macronlowmod ˍ
macronmonospace ￣
macronnosp ¯
macute ḿ
madeva म
magujarati મ
magurmukhi ਮ
mahapakhhebrew ֤
mahapakhlefthebrew ֤
mahiragana ま
maichattawalowleftthai 
maichattawalowrightthai 
maichattawathai ๋
maichattawaupperleftthai 
maieklowleftthai 
maieklowrightthai 
maiekthai ่
maiekupperleftthai 
maihanakatleftthai 
maihanakatthai ั
maitaikhuleftthai 
maitaikhuthai ็
maitholowleftthai 
maitholowrightthai 
maithothai ้
maithoupperleftthai 
maitrilowleftthai 
maitrilowrightthai 
maitrithai ๊
maitriupperleftthai 
maiyamokthai ๆ
makatakana マ
makatakanahalfwidth ﾏ
male ♂
maltesecross ✠
mansyonsquare ㍇
mapsto ↦
maqafhebrew ־
married ⚭
mars ♂
masoracirclehebrew ֯
masquare ㎃
mbbb 𝕞
mbopomofo ㄇ
mbsquare ㏔
mcapturn Ɯ
mcircle ⓜ
mcubedsquare ㎥
mdotaccent ṁ
mdotbelow ṃ
measuredangle ∡
medbullet ⚫
medcircle ⚪
meemarabic م
meemfinalarabic ﻢ
meeminitialarabic ﻣ
meemmedialarabic ﻤ
meemmeeminitialarabic ﳑ
meemmeemisolatedarabic ﱈ
meetorusquare ㍍
mehiragana め
meizierasquare ㍾
mekatakana メ
mekatakanahalfwidth ﾒ
mem מ
memdagesh מּ
memdageshhebrew מּ
memfinal ם
memhebrew מ
menarmenian մ
merkhahebrew ֥
merkhakefulahebrew ֦
merkhakefulalefthebrew ֦
merkhalefthebrew ֥
mho ℧
mhook ɱ
mhzsquare ㎒
micro µ
middledotkatakanahalfwidth ･
middot ·
mieumacirclekorean ㉲
mieumaparenkorean ㈒
mieumcirclekorean ㉤
mieumkorean ㅁ
mieumpansioskorean ㅰ
mieumparenkorean ㈄
mieumpieupkorean ㅮ
mieumsioskorean ㅯ
mihiragana み
mikatakana ミ
mikatakanahalfwidth ﾐ
mill ₥
minus −
minusbelowcmb ̠
minuscircle ⊖
minusdot ⨪
minusmod ˗
minusplus ∓
minute ′
miribaarusquare ㍊
mirisquare ㍉
mlonglegturned ɰ
mlsquare ㎖
mmcubedsquare ㎣
mmonospace ｍ
mmsquaredsquare ㎟
mohiragana も
mohmsquare ㏁
mokatakana モ
mokatakanahalfwidth ﾓ
molsquare ㏖
momathai ม
moverssquare ㎧
moverssquaredsquare ㎨
mparen ⒨
mpasquare ㎫
mssquare ㎳
msuperior 
mturn ɯ
mturned ɯ
mu µ
mu1 µ
muasquare ㎂
muchgreater ≫
muchless ≪
mufsquare ㎌
mugreek μ
mugsquare ㎍
muhiragana む
mukatakana ム
mukatakanahalfwidth ﾑ
mulsquare ㎕
multicloseleft ⋉
multicloseleftright ⋈
multicloseright ⋊
multimap ⊸
multimapboth ⧟
multimapinv ⟜
multiopenleft ⋋
multiopenright ⋌
multiply ×
mumsquare ㎛
munahhebrew ֣
munahlefthebrew ֣
musicalnote ♪
musicalnotedbl ♫
musicflatsign ♭
musicsharpsign ♯
mussquare ㎲
muvsquare ㎶
muwsquare ㎼
mvmegasquare ㎹
mvsquare ㎷
mwmegasquare ㎿
mwsquare ㎽
n n
nabengali ন
nabla ∇
nacute ń
nadeva न
nagujarati ન
nagurmukhi ਨ
nahiragana な
naira ₦
nakatakana ナ
nakatakanahalfwidth ﾅ
nand ⊼
napostrophe ŉ
nasquare ㎁
natural ♮
nbbb 𝕟
nbopomofo ㄋ
nbspace  
ncaron ň
ncedilla ņ
ncircle ⓝ
ncircumflexbelow ṋ
ncommaaccent ņ
ndotaccent ṅ
ndotbelow ṇ
negationslash /
nehiragana ね
nekatakana ネ
nekatakanahalfwidth ﾈ
neswline /
newsheqelsign ₪
newtieaccentcapital ⁀
newtieaccentlowercase ⁀
nexists ∄
nfsquare ㎋
ng ŋ
ngabengali ঙ
ngadeva ङ
ngagujarati ઙ
ngagurmukhi ਙ
ngonguthai ง
nhiragana ん
nhookleft ɲ
nhookretroflex ɳ
nieunacirclekorean ㉯
nieunaparenkorean ㈏
nieuncieuckorean ㄵ
nieuncirclekorean ㉡
nieunhieuhkorean ㄶ
nieunkorean ㄴ
nieunpansioskorean ㅨ
nieunparenkorean ㈁
nieunsioskorean ㅧ
nieuntikeutkorean ㅦ
nihiragana に
nikatakana ニ
nikatakanahalfwidth ﾆ
nikhahitleftthai 
nikhahitthai ํ
nine 9
ninearabic ٩
ninebengali ৯
ninecircle ⑨
ninecircleinversesansserif ➒
ninedeva ९
ninegujarati ૯
ninegurmukhi ੯
ninehackarabic ٩
ninehangzhou 〩
nineideographicparen ㈨
nineinferior ₉
ninemonospace ９
nineoldstyle 
nineparen ⑼
nineperiod ⒐
ninepersian ۹
nineroman ⅸ
ninesuperior ⁹
nineteencircle ⑲
nineteenparen ⒆
nineteenperiod ⒚
ninethai ๙
nj ǌ
njecyrillic њ
nkatakana ン
nkatakanahalfwidth ﾝ
nleg ƞ
nlegrightlong ƞ
nlinebelow ṉ
nmonospace ｎ
nmsquare ㎚
nnabengali ণ
nnadeva ण
nnagujarati ણ
nnagurmukhi ਣ
nnnadeva ऩ
nohiragana の
nokatakana ノ
nokatakanahalfwidth ﾉ
nomero №
nonbreakingspace  
nonenthai ณ
nonuthai น
noonarabic ن
noonfinalarabic ﻦ
noonghunnaarabic ں
noonghunnafinalarabic ﮟ
noonhehinitialarabic ﻧﻬ
nooninitialarabic ﻧ
noonjeeminitialarabic ﳒ
noonjeemisolatedarabic ﱋ
noonmedialarabic ﻨ
noonmeeminitialarabic ﳕ
noonmeemisolatedarabic ﱎ
noonnoonfinalarabic ﲍ
notapproxequal ≇
notarrowboth ↮
notarrowleft ↚
notarrowright ↛
notbar ∤
notcongruent ≇
notcontains ∌
notdblarrowboth ⇎
notdblarrowleft ⇍
notdblarrowright ⇏
notelement ∉
notelementof ∉
notequal ≠
notexistential ∄
notexists ∄
notfollows ⊁
notfollowsoreql ⪰̸
notforces ⊮
notforcesextra ⊯
notgeqslant ⩾̸
notgreater ≯
notgreaterdblequal ≧̸
notgreaterequal ≱
notgreaternorequal ≱
notgreaternorless ≹
notgreaterorequalslant ⩾̸
notgreaterorslnteql ⩾̸
notidentical ≢
notleqslant ⩽̸
notless ≮
notlessdblequal ≦̸
notlessequal ≰
notlessnorequal ≰
notlessorequalslant ⩽̸
notlessorslnteql ⩽̸
notowner ∌
notparallel ∦
notprecedes ⊀
notprecedesoreql ⪯̸
notsatisfies ⊭
notsimequal ≇
notsimilar ≁
notsmallelement ∊̸
notsmallowner ∍̸
notsubset ⊄
notsubseteql ⊈
notsubsetordbleql ⫅̸
notsubsetoreql ⊊
notsucceeds ⊁
notsuperset ⊅
notsuperseteql ⊉
notsupersetordbleql ⫆̸
notsupersetoreql ⊋
nottriangeqlleft ⋬
nottriangeqlright ⋭
nottriangleleft ⋪
nottriangleright ⋫
notturnstile ⊬
notvDash ⊭
nowarmenian ն
noway ⛔
nparen ⒩
nssquare ㎱
nsuperior ⁿ
ntilde ñ
nu ν
nuhiragana ぬ
nukatakana ヌ
nukatakanahalfwidth ﾇ
nuktabengali ়
nuktadeva ़
nuktagujarati ઼
nuktagurmukhi ਼
numbersign #
numbersignmonospace ＃
numbersignsmall ﹟
numeralgreek ʹ
numeralgreeksub ʹ
numeralsigngreek ʹ
numeralsignlowergreek ͵
numero №
nun נ
nundagesh נּ
nundageshhebrew נּ
nunfinal ן
nunfinalqamats שּ
nunhebrew נ
nvsquare ㎵
nwseline \
nwsquare ㎻
nyabengali ঞ
nyadeva ञ
nyagujarati ઞ
nyagurmukhi ਞ
o o
oacute ó
oangthai อ
obar ɵ
obarred ɵ
obarredcyrillic ө
obarreddieresiscyrillic ӫ
obbb 𝕠
obengali ও
obopomofo ㄛ
obreve ŏ
ocandradeva ऑ
ocandragujarati ઑ
ocandravowelsigndeva ॉ
ocandravowelsigngujarati ૉ
ocaron ǒ
ocircle ⓞ
ocircumflex ô
ocircumflexacute ố
ocircumflexdotbelow ộ
ocircumflexgrave ồ
ocircumflexhookabove ổ
ocircumflextilde ỗ
ocyrillic о
odblacute ő
odblgrave ȍ
odeva ओ
odieresis ö
odieresiscyrillic ӧ
odotbelow ọ
oe œ
oekorean ㅚ
ogonek ˛
ogonekcmb ̨
ograve ò
ogujarati ઓ
oharmenian օ
ohiragana お
ohm Ω
ohookabove ỏ
ohorn ơ
ohornacute ớ
ohorndotbelow ợ
ohorngrave ờ
ohornhookabove ở
ohorntilde ỡ
ohungarumlaut ő
oi ƣ
oinvertedbreve ȏ
okatakana オ
okatakanahalfwidth ｵ
okorean ㅗ
olehebrew ֫
omacron ō
omacronacute ṓ
omacrongrave ṑ
omdeva ॐ
omega ω
omega1 ϖ
omegacyrillic ѡ
omegalatinclosed ɷ
omegaroundcyrillic ѻ
omegatitlocyrillic ѽ
omegatonos ώ
omgujarati ૐ
omicron ο
omicrontonos ό
omonospace ｏ
one 1
one_os_SUP ¹
onealt 1
onearabic ١
onebbb 𝟙
onebengali ১
onecircle ①
onecircleinversesansserif ➊
onedeva १
onedotenleader ․
oneeighth ⅛
onefifth ⅕
onefitted 
onegujarati ૧
onegurmukhi ੧
onehackarabic ١
onehalf ½
onehangzhou 〡
oneideographicparen ㈠
oneinferior ₁
onemonospace １
onenumeratorbengali ৴
oneoldstyle 
oneparen ⑴
oneperiod ⒈
onepersian ۱
onequarter ¼
oneroman ⅰ
onesixth ⅙
onesuperior ¹
onethai ๑
onethird ⅓
oogonek ǫ
oogonekmacron ǭ
oogurmukhi ਓ
oomatragurmukhi ੋ
oopen ɔ
oparen ⒪
openbracketleft ⟦
openbracketright ⟧
openbullet ◦
option ⌥
optionkey ⌥
ordfeminine ª
ordmasculine º
orthogonal ∟
orunderscore ⊻
oshortdeva ऒ
oshortvowelsigndeva ॊ
oslash ø
oslashacute ǿ
osmallhiragana ぉ
osmallkatakana ォ
osmallkatakanahalfwidth ｫ
ostrokeacute ǿ
osuperior 
otcyrillic ѿ
otilde õ
otildeacute ṍ
otildedieresis ṏ
otriangle 🟕
ou ȣ
oubopomofo ㄡ
overline ‾
overlinecenterline ﹊
overlinecmb ̅
overlinedashed ﹉
overlinedblwavy ﹌
overlinewavy ﹋
overscore ¯
overscorenosp ¯
ovowelsignbengali ো
ovowelsigndeva ो
ovowelsigngujarati ો
owner ∋
p p
paampssquare ㎀
paasentosquare ㌫
pabengali প
pacute ṕ
padeva प
pagedown ⇟
pageup ⇞
pagujarati પ
pagurmukhi ਪ
pahiragana ぱ
paiyannoithai ฯ
pakatakana パ
palatalizationcyrilliccmb ҄
palochkacyrillic Ӏ
pansioskorean ㅿ
paragraph ¶
paragraphalt ❡
parallel ∥
parallel1 ⑊
parallelslanted //
parenleft (
parenleftBig (
parenleftBigg (
parenleftaltonearabic ﴾
parenleftbig (
parenleftbig1 (
parenleftbig2 (
parenleftbig3 (
parenleftbig4 (
parenleftbig5 (
parenleftbig6 (
parenleftbig7 (
parenleftbigg (
parenleftbt 
parenleftex 
parenleftinferior ₍
parenleftmonospace （
parenleftsmall ﹙
parenleftsuperior ⁽
parenlefttp 
parenleftvertical ︵
parenright )
parenrightBig )
parenrightBigg )
parenrightaltonearabic ﴿
parenrightbig )
parenrightbig3 )
parenrightbig4 )
parenrightbig5 )
parenrightbig6 )
parenrightbig7 )
parenrightbigg )
parenrightbt 
parenrightex 
parenrightinferior ₎
parenrightmonospace ）
parenrightsmall ﹚
parenrightsuperior ⁾
parenrighttp 
parenrightvertical ︶
parenwide ⌒
parenwide1 ⌒
parenwide10 ⌒
parenwide13 ⌒
parenwide3 ⌒
parenwide4 ⌒
parenwide5 ⌒
parenwide6 ⌒
parenwide7 ⌒
parenwide8 ⌒
parenwide9 ⌒
partialdiff ∂
partialdiff1 ∂
partialsf ∂
partialup ∂
paseqhebrew ׀
pashtahebrew ֙
pasquare ㎩
patah ַ
patah11 ַ
patah1d ַ
